"hhs_id","ccn","facility_name","address","city","zip","fips_code","state","geohash","geocoded_hospital_address"
"C180141-A","180141","UNIVERSITY OF LOUISVILLE HOSPITAL  ULH",,,"40202","21111","KY",,"POINT (-85.750605 38.253348)"
"H000002",,"Hospital Psiquiatrico Forense","ROAD 14","PONCE","00716","72113","PR","17.99,-66.61",
"C451305-C",,"BURLESON ST  JOSEPH  CALDWELL",,,"77304","48339","TX",,"POINT (-95.506156 30.32998)"
"C451347-A","451347","COLEMAN COUNTY MEDICAL CENTER",,,"76834","48083","TX",,"POINT (-99.467108 31.853675)"
"C180151-A","180067","UK HEALTHCARE GOOD SAMARITAN HOSPITAL",,,"40536","21067","KY",,"POINT (-84.507492 38.03237)"
"C340091-A","340091","CONE HEALTH ANNIE PENN HOSPITAL",,,"27320","37157","NC",,"POINT (-79.667981 36.34589)"
"C040007-A","040007","CHI St Vincent Infirmary","TWO ST VINCENT CIRCLE","LITTLE ROCK","72205","05119","AR","34.74957565,-92.3382277",
"C060054-A","060054","Community Hospital","2351 'G' RD","GRAND JUNCTION","81505","08077","CO","39.105197,-108.615972","POINT (-108.615312 39.106297)"
"C074008-A","074008","Natchaug Hospital","189 STORRS RD","MANSFIELD CENTER","06250","09013","CT","41.741073,-72.198171","POINT (-72.197173 41.741224)"
"C124000-A","124000","HAWAII STATE HOSPITAL",,,,,"HI",,"POINT (-157.854309 21.361013)"
"C154064-A","154064","Assurance Health Indianapolis","900 NORTH HIGH SCHOOL ROAD","INDIANAPOLIS","46214","18097","IN","39.778045,-86.273341","POINT (-86.272662 39.777984)"
"C330108-A","330108","St Josephs Hospital","555 SAINT JOSEPHS BLVD","ELMIRA","14901","36015","NY","42.092147,-76.797215","POINT (-76.797472 42.091214)"
"C100331-A","100331","Touchton Surgery Center","9726 TOUCHTON ROAD, SUITE 305","JACKSONVILLE","32246","12031","FL","30.26746,-81.55554",
"C141346-A","141346","Fayette County Hospital","7TH AND TAYLOR","VANDALIA","62471","17051","IL","38.97,-89.11",
"C170105-A","170105","McPherson Hospital","1000 HOSPITAL DRIVE","MCPHERSON","67460","20113","KS","38.378624,-97.671193","POINT (-97.672485 38.379006)"
"C190236-A","190236","WILLIS KNIGHTON BOSSIER",,,"71111","22015","LA",,"POINT (-93.700669 32.562194)"
"C224007-A","224007","MCLEAN HOSPITAL","115 MILL STREET","BELMONT","02478","25017","MA","42.393978,-71.191928","POINT (-71.195698 42.394424)"
